IdMetrica,IdModelo,FechaEntrenamiento,Loss,MAE,ValLoss,ValMAE,Accuracy,Precision,Recall,F1_Score,DiasFuturo,AUC,TP,TN,FP,FN
20,1,2026-04-23 10:56:29,0.000000,0.049263,0.000000,0.000000,0.466229,0.465196,0.995336,0.634051,5,0.512498677150511,31370,259,36064,147
21,2,2026-04-23 11:51:39,0.000000,0.049272,0.000000,0.000000,0.466745,0.465572,0.999524,0.635249,5,0.519579111468469,31502,162,36161,15
22,3,2026-04-23 12:49:59,0.000000,0.072003,0.000000,0.000000,0.466052,0.465210,0.998318,0.634668,5,0.519721864913012,31464,153,36170,53
